algorithm,run_id,seed,generation,evaluations,population_size,feasible_count,feasible_fraction,mean_total_constraint_violation,max_total_constraint_violation,non_dominated_count,hv_against_zero_reference,max_social_reliability,max_economic_efficiency,max_ecological_security,data_status
IA-NSGA-III,2,1809037,20,960,48,48,1.0,0.0,0.0,26,0.3771502086047955,0.6876571029302001,0.727942409286246,0.7570402569043282,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,2,1809037,21,1008,48,48,1.0,0.0,0.0,26,0.38251747302096395,0.6927734499245222,0.727942409286246,0.7626443302428902,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,2,1809037,22,1056,48,48,1.0,0.0,0.0,25,0.388988072057938,0.6958591357630384,0.7364063544773364,0.7626443302428902,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,2,1809037,23,1104,48,48,1.0,0.0,0.0,21,0.3982212461992198,0.7059710652264745,0.7405797697438555,0.7656518994837543,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,2,1809037,24,1152,48,48,1.0,0.0,0.0,6,0.39924838409173563,0.7059710652264745,0.7405797697438555,0.7656831433172699,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,2,1809037,25,1200,48,48,1.0,0.0,0.0,14,0.4001711302839323,0.7059710652264745,0.7405797697438555,0.7675341682613043,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,2,1809037,26,1248,48,48,1.0,0.0,0.0,17,0.4032716002122757,0.7084960761868769,0.7435052242259264,0.7675341682613043,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,2,1809037,27,1296,48,48,1.0,0.0,0.0,22,0.4090152914494351,0.7150675233334478,0.747099353343458,0.7675341682613043,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,2,1809037,28,1344,48,48,1.0,0.0,0.0,18,0.41496180338588023,0.7150675233334478,0.7545299477635228,0.7708488813145832,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,2,1809037,29,1392,48,48,1.0,0.0,0.0,21,0.4245438222633542,0.7204931721982037,0.7608641254616272,0.7774436406482695,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,2,1809037,30,1440,48,48,1.0,0.0,0.0,13,0.42606037228402865,0.7209496452894192,0.7608641254616272,0.7780260333690915,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,3,1809038,1,48,48,48,1.0,0.0,0.0,7,0.2237769384989376,0.5626432562318692,0.5697268430645787,0.7011287101952305,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,3,1809038,2,96,48,48,1.0,0.0,0.0,7,0.22752935697944765,0.5626432562318692,0.5787091789346774,0.7011287101952305,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,3,1809038,3,144,48,48,1.0,0.0,0.0,10,0.23934107518798042,0.5636375062199127,0.5966505875185933,0.7163728837748237,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,3,1809038,4,192,48,48,1.0,0.0,0.0,11,0.2557098565919733,0.5828270986891945,0.619617419528962,0.7163728837748237,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,3,1809038,5,240,48,48,1.0,0.0,0.0,17,0.26263861487312945,0.5882810272083459,0.6251842732255677,0.7239994975367483,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,3,1809038,6,288,48,48,1.0,0.0,0.0,17,0.26639912314399566,0.5946215905024297,0.6251842732255677,0.7239994975367483,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,3,1809038,7,336,48,48,1.0,0.0,0.0,22,0.2773618015692309,0.6131823600444661,0.632021827181286,0.7239994975367483,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,3,1809038,8,384,48,48,1.0,0.0,0.0,18,0.2813259659728683,0.6131823600444661,0.6368126027954328,0.726638388502827,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,3,1809038,9,432,48,48,1.0,0.0,0.0,15,0.2961591928524107,0.6131823600444661,0.659312732695323,0.7392318726530765,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,3,1809038,10,480,48,48,1.0,0.0,0.0,9,0.3057325417026524,0.6332344154824064,0.659312732695323,0.7392318726530765,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,3,1809038,11,528,48,48,1.0,0.0,0.0,16,0.3061356583259457,0.6332344154824064,0.659312732695323,0.7392318726530765,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,3,1809038,12,576,48,48,1.0,0.0,0.0,16,0.3213958621715184,0.6341566308984738,0.6819034610360682,0.7508511427350784,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,3,1809038,13,624,48,48,1.0,0.0,0.0,13,0.34144250153459255,0.6605327364290176,0.6954413094334169,0.7529161721184157,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,3,1809038,14,672,48,48,1.0,0.0,0.0,17,0.3421917757078661,0.6605327364290176,0.6954413094334169,0.7532537929693336,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,3,1809038,15,720,48,48,1.0,0.0,0.0,20,0.3432841146057995,0.6605327364290176,0.695721670939451,0.7532537929693336,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,3,1809038,16,768,48,48,1.0,0.0,0.0,21,0.34569237839127165,0.6605327364290176,0.6994239169875924,0.7532537929693336,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,3,1809038,17,816,48,48,1.0,0.0,0.0,24,0.3500171712896741,0.661201822590269,0.7000840723625024,0.7602261776221637,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,3,1809038,18,864,48,48,1.0,0.0,0.0,20,0.35690968906700216,0.661201822590269,0.7108423905028659,0.7634760745753764,经过处理的数据 / public-data surrogate; not author-run logs
IA-NSGA-III,3,1809038,19,912,48,48,1.0,0.0,0.0,21,0.3617684334096516,0.6633190258557898,0.718708256757816,0.7634760745753764,经过处理的数据 / public-data surrogate; not author-run logs
