algorithm,run_id,seed,stored_hv,recomputed_hv,hv_abs_difference,stored_igd,recomputed_igd,igd_abs_difference,metric_population,data_status
IA-NSGA-III,1,1809036,0.551835749310715,0.551835749310715,0.0,0.0180590974575658,0.018059097457565895,9.367506770274758e-17,feasible,newly executed 30-run surrogate verification; not original author-run logs
IA-NSGA-III,14,1809049,0.5407352981131852,0.5407352981131852,0.0,0.0164048154407,0.016404815440700004,3.469446951953614e-18,feasible,newly executed 30-run surrogate verification; not original author-run logs
IA-NSGA-III,15,1809050,0.5421809989783611,0.5421809989783611,0.0,0.0169071971570233,0.016907197157023327,2.7755575615628914e-17,feasible,newly executed 30-run surrogate verification; not original author-run logs
IA-NSGA-III,16,1809051,0.547163248763069,0.547163248763069,0.0,0.0180821890214854,0.018082189021485402,3.469446951953614e-18,feasible,newly executed 30-run surrogate verification; not original author-run logs
IA-NSGA-III,17,1809052,0.5443606648680233,0.5443606648680233,0.0,0.0146230837547192,0.014623083754719213,1.214306433183765e-17,feasible,newly executed 30-run surrogate verification; not original author-run logs
IA-NSGA-III,18,1809053,0.5424933352013415,0.5424933352013415,0.0,0.0200010587595665,0.020001058759566506,6.938893903907228e-18,feasible,newly executed 30-run surrogate verification; not original author-run logs
IA-NSGA-III,19,1809054,0.5594994169310845,0.5594994169310845,0.0,0.0113413228351814,0.011341322835181454,5.377642775528102e-17,feasible,newly executed 30-run surrogate verification; not original author-run logs
IA-NSGA-III,20,1809055,0.5203213992747993,0.5203213992747993,0.0,0.0337910971986257,0.03379109719862575,4.85722573273506e-17,feasible,newly executed 30-run surrogate verification; not original author-run logs
IA-NSGA-III,21,1809056,0.5299601395890359,0.5299601395890359,0.0,0.0281098775693124,0.028109877569312446,4.5102810375396984e-17,feasible,newly executed 30-run surrogate verification; not original author-run logs
IA-NSGA-III,22,1809057,0.5374521086357578,0.5374521086357578,0.0,0.022534576486998,0.022534576486998043,4.163336342344337e-17,feasible,newly executed 30-run surrogate verification; not original author-run logs
IA-NSGA-III,23,1809058,0.5364174602926878,0.5364174602926878,0.0,0.0326869450374298,0.032686945037429825,2.7755575615628914e-17,feasible,newly executed 30-run surrogate verification; not original author-run logs
IA-NSGA-III,24,1809059,0.5443150838602283,0.5443150838602283,0.0,0.0183717255109764,0.01837172551097644,4.163336342344337e-17,feasible,newly executed 30-run surrogate verification; not original author-run logs
IA-NSGA-III,25,1809060,0.5286214359623246,0.5286214359623246,0.0,0.0264644151354986,0.026464415135498687,8.673617379884035e-17,feasible,newly executed 30-run surrogate verification; not original author-run logs
IA-NSGA-III,26,1809061,0.5352913124709097,0.5352913124709097,0.0,0.0207633714290109,0.020763371429010923,2.42861286636753e-17,feasible,newly executed 30-run surrogate verification; not original author-run logs
IA-NSGA-III,27,1809062,0.5241626231213137,0.5241626231213137,0.0,0.0263717735523379,0.026371773552337927,2.7755575615628914e-17,feasible,newly executed 30-run surrogate verification; not original author-run logs
IA-NSGA-III,28,1809063,0.5417072533610904,0.5417072533610904,0.0,0.0174539267048396,0.01745392670483969,9.020562075079397e-17,feasible,newly executed 30-run surrogate verification; not original author-run logs
IA-NSGA-III,29,1809064,0.5233776381363175,0.5233776381363175,0.0,0.0268955687845949,0.026895568784594915,1.3877787807814457e-17,feasible,newly executed 30-run surrogate verification; not original author-run logs
IA-NSGA-III,30,1809065,0.551263369710942,0.551263369710942,0.0,0.0175857652151447,0.017585765215144763,6.245004513516506e-17,feasible,newly executed 30-run surrogate verification; not original author-run logs
NSGA-III,1,1909036,0.3396171871418373,0.3396171871418373,0.0,0.1996340976199731,0.1996340976199731,0.0,feasible,newly executed 30-run surrogate verification; not original author-run logs
