algorithm,run_id,seed,solution_id,feasible,total_constraint_violation,total_supply_tonnes,capture_tonnes,aquaculture_tonnes,processed_tonnes,data_status,social_reliability,economic_efficiency,ecological_security,g_national_capture_tac,g_capture_share,g_national_processing_capacity,g_national_total_supply,g_regional_cold_storage,g_minimum_supply,g_fleet_power
IA-NSGA-III,10,1809045,27,True,0.0,67734027.15767491,4347083.766696023,63386943.39097889,15981168.633654276,经过处理的数据 / public-data surrogate; not author-run logs,0.7989367477980253,0.7521709676342833,0.6887522937207149,-0.667287857680013,-0.21582127109352814,-0.39303954308064926,-0.13469781525281088,0.0,-0.3906490280886351,-0.4708950485848393
IA-NSGA-III,10,1809045,28,True,0.0,70611857.91342889,6460730.539851888,64151127.37357701,18015148.55948064,经过处理的数据 / public-data surrogate; not author-run logs,0.8130140430688809,0.7885832290317331,0.633474170488975,-0.5055159701925753,-0.18850360363307772,-0.31578953631052076,-0.09793352786606269,-0.01395050106091733,-0.41548351084881185,-0.35488733998605027
IA-NSGA-III,10,1809045,29,True,0.0,64564789.46954562,2186019.58415113,62378769.88539448,15619932.52878849,经过处理的数据 / public-data surrogate; not author-run logs,0.7933419930470845,0.7007077060920904,0.7447642186427472,-0.8326889247986216,-0.24614223321858356,-0.40675919251876225,-0.17518482614820063,-0.02058610077604972,-0.3607383278238937,-0.5890037880348693
IA-NSGA-III,10,1809045,30,True,0.0,66384307.72931471,6107865.016692648,60276442.71262207,17961852.112327255,经过处理的数据 / public-data surrogate; not author-run logs,0.7804127138578875,0.8105509551830891,0.6445513332044629,-0.5325231893910232,-0.18799233696014778,-0.31781372094044047,-0.15194048070716337,-6.933164547795467e-05,-0.3782597621067929,-0.3951888407487779
IA-NSGA-III,10,1809045,31,True,0.0,61879560.59941776,2651152.255190706,59228408.344227046,15662209.486122986,经过处理的数据 / public-data surrogate; not author-run logs,0.7070078477220427,0.7605667719112043,0.7359954649786772,-0.7970891306032095,-0.23715625273500004,-0.4051535251280266,-0.20948862448074346,-0.017544439421987468,-0.33299792564479924,-0.5840228460428052
IA-NSGA-III,10,1809045,32,True,0.0,65328842.27989657,3290979.252393564,62037863.027503,16278956.428092517,经过处理的数据 / public-data surrogate; not author-run logs,0.7598627790872202,0.7390505498816904,0.7156029970641582,-0.7481187811969168,-0.2296244057365412,-0.381729643290429,-0.1654240516334965,-0.015298866533789646,-0.3682148062081755,-0.5330052439495971
IA-NSGA-III,10,1809045,33,True,0.0,70387178.55084258,6422726.867513521,63964451.68332906,18141905.53235058,经过处理的数据 / public-data surrogate; not author-run logs,0.8504651064198975,0.7849065361613715,0.6347536982505145,-0.5084246519475937,-0.18875146582450086,-0.31097534080739375,-0.10080380668266042,-0.016961148750300525,-0.4136177052446164,-0.35834189310941933
IA-NSGA-III,10,1809045,34,True,0.0,70881009.58625045,8122955.286680305,62758054.299570136,17852677.6811736,经过处理的数据 / public-data surrogate; not author-run logs,0.8085187502245659,0.8286420294676864,0.5903927305994072,-0.3782945072036259,-0.16540011867641344,-0.32196013627063025,-0.0944951152942144,0.0,-0.41770305585480383,-0.27440450147646944
IA-NSGA-III,10,1809045,35,True,0.0,69580789.52960417,6077690.882103358,63503098.64750081,17975262.06426642,经过处理的数据 / public-data surrogate; not author-run logs,0.8006436000529218,0.8043285065114,0.643482894419476,-0.5348326229102867,-0.1926527462078091,-0.3173044145972783,-0.11110542628383147,0.0,-0.4068219754471246,-0.3798858582129955
IA-NSGA-III,10,1809045,36,True,0.0,60761800.12403494,1915497.3292379067,58846302.794797026,14397801.579491409,经过处理的数据 / public-data surrogate; not author-run logs,0.6998128035495423,0.6901186971338523,0.7511282046196953,-0.8533938487908779,-0.248475303145599,-0.4531753950133991,-0.22376801435256244,-0.01177034997746873,-0.3207279047732865,-0.6194038652841716
IA-NSGA-III,10,1809045,37,True,0.0,66132763.23409598,5783305.051863541,60349458.18223244,18342412.80322936,经过处理的数据 / public-data surrogate; not author-run logs,0.7679541575821103,0.8254392228896296,0.6530239890287208,-0.5573639900300376,-0.19255007701111984,-0.30336012895787035,-0.15515396158830463,-5.830123081640437e-05,-0.3758948929156416,-0.410843031625569
IA-NSGA-III,10,1809045,38,True,0.0,68538368.92502272,4016125.792542411,64522243.13248032,16721946.769152017,经过处理的数据 / public-data surrogate; not author-run logs,0.8378237553020906,0.739436934840331,0.6975876981345976,-0.6926183418639472,-0.2214032482019548,-0.3649049901011677,-0.12442234931972396,-0.0051610847111189795,-0.3978001530040597,-0.4830203323838741
IA-NSGA-III,10,1809045,39,True,0.0,65573367.73025371,3610627.089160108,61962740.64109359,17211591.583542604,经过处理的数据 / public-data surrogate; not author-run logs,0.7274735730618774,0.7791070488468271,0.7086181713309141,-0.7236539394164747,-0.22493759869078275,-0.3463084126490754,-0.16230023904919855,-0.004620479133286892,-0.3705707559540605,-0.518376257395885
IA-NSGA-III,10,1809045,40,True,0.0,66307926.21935899,4430803.98202113,61877122.23733786,16614501.152790224,经过处理的数据 / public-data surrogate; not author-run logs,0.8072576937203642,0.7480736174805773,0.687381158611726,-0.6608801752677925,-0.21317836592622122,-0.3689857455137351,-0.15291625448309898,-2.220446049250313e-16,-0.37754356630821806,-0.4755350909869053
IA-NSGA-III,10,1809045,41,True,0.0,70394004.15287505,8316811.843098953,62077192.30977608,16789171.18448729,经过处理的数据 / public-data surrogate; not author-run logs,0.7882508516849297,0.8442934540749395,0.5859305885717103,-0.3634573350554928,-0.16185340579522534,-0.3623518250114691,-0.10071660961792428,0.0,-0.41367456253283363,-0.26890359721502544
IA-NSGA-III,10,1809045,42,True,0.0,69619902.2859308,5300071.322000275,64319830.96393052,16710433.459092144,经过处理的数据 / public-data surrogate; not author-run logs,0.8410188821580337,0.7593828058176268,0.6633924115159356,-0.5943491824332388,-0.20387131914904535,-0.3653422624993752,-0.11060576082879903,-0.015090656426286486,-0.407155225376683,-0.41669727175410487
IA-NSGA-III,10,1809045,43,True,0.0,72672651.59293468,8417260.562025223,64255391.03090947,17948751.07146965,经过处理的数据 / public-data surrogate; not author-run logs,0.8495853675911123,0.8142081579542924,0.5832649958148965,-0.35576930550260055,-0.164175678504573,-0.3183112949243796,-0.0716068889813185,-0.016944071513319447,-0.43205876797795717,-0.25207243808289304
IA-NSGA-III,10,1809045,44,True,0.0,66157031.328587696,3071580.15209842,63085451.17648928,14794910.455614215,经过处理的数据 / public-data surrogate; not author-run logs,0.8252258763389168,0.6692994263268869,0.7203136863887312,-0.7649108994536478,-0.23357137268081843,-0.43809330743748487,-0.1548439366855412,-0.0006993008532708567,-0.3761238306628065,-0.538852535037118
IA-NSGA-III,10,1809045,45,True,0.0,69712029.37529081,5948873.7455358105,63763155.62975501,17585322.876018416,经过处理的数据 / public-data surrogate; not author-run logs,0.7966809179417609,0.7886972806650442,0.6471218320126211,-0.5446918820769188,-0.1946650327232567,-0.332114199369298,-0.1094288372788077,-0.011735220734628182,-0.4079386922190311,-0.38553799094863095
IA-NSGA-III,10,1809045,46,True,0.0,68173760.97944123,3509603.909548175,64664157.06989304,15747730.8835552,经过处理的数据 / public-data surrogate; not author-run logs,0.8281991661888805,0.721468208949759,0.7096394223193176,-0.7313859363865284,-0.22851972578413937,-0.40190544561320773,-0.12908021575889816,-0.015513572678128584,-0.39457945862123267,-0.5075119112427571
IA-NSGA-III,10,1809045,47,True,0.0,69754919.29919496,4878970.960382096,64875948.33881286,17059682.383457605,经过处理的数据 / public-data surrogate; not author-run logs,0.829433858711823,0.7617126689111701,0.6743963401789942,-0.6265788819203025,-0.21005552856487353,-0.35207788293047126,-0.10888091850865234,-0.0037978740723894067,-0.4083027305505559,-0.43410080894240377
IA-NSGA-III,10,1809045,48,True,0.0,64239206.117812335,2524951.881635837,61714254.2361765,16276258.286278432,经过处理的数据 / public-data surrogate; not author-run logs,0.7423292074456044,0.7336369067990821,0.7354310943355451,-0.8067481109450896,-0.24069453478293043,-0.3818321179858566,-0.17934415340798837,-0.017367261481408214,-0.3574983600465832,-0.5742080223880871
IA-NSGA-III,11,1809046,1,True,0.0,56883134.661073,2944610.011992131,53938524.64908087,15186310.89346482,经过处理的数据 / public-data surrogate; not author-run logs,0.6550478685187698,0.7384188626579612,0.7265209846346555,-0.7746287953104235,-0.22823404108200065,-0.42322802480127275,-0.2733179649437424,-0.15542163916700902,-0.27441067504591987,-0.5913277288087925
IA-NSGA-III,11,1809046,2,True,0.0,64541691.82620532,2329703.841315573,62211987.984889746,14723850.569693739,经过处理的数据 / public-data surrogate; not author-run logs,0.7731158641732551,0.7083626484293769,0.7410235569652945,-0.8216917829020043,-0.24390389257863146,-0.44079214266134337,-0.1754798985377154,-0.07669719054531787,-0.36050955417871555,-0.5812817020738628
IA-NSGA-III,11,1809046,3,True,0.0,64771373.19897169,6165019.031973289,58606354.166998394,16200217.24551182,经过处理的数据 / public-data surrogate; not author-run logs,0.7228758848825612,0.8119409105499192,0.6430253638784019,-0.528148800516372,-0.18481876904114852,-0.38472013612184763,-0.17254571904196758,-0.14803116928014415,-0.36277720786911993,-0.4007546998408591
IA-NSGA-III,11,1809046,4,True,0.0,68571893.4528954,7031295.821920834,61540597.63097456,17668360.81076758,经过处理的数据 / public-data surrogate; not author-run logs,0.7633154033461538,0.8001822174194456,0.6179549149647499,-0.4618466949913641,-0.17746096442923964,-0.32896044109464617,-0.12399407348218483,-0.01867165027125728,-0.39809456613076455,-0.3359116478700047
IA-NSGA-III,11,1809046,5,True,0.0,58762435.008245386,2602424.033058656,56160010.97518673,15012218.604926853,经过处理的数据 / public-data surrogate; not author-run logs,0.6864390687862448,0.7268894738763241,0.7357108899256649,-0.8008186357259784,-0.23571279453117472,-0.42984000277481216,-0.24930990334688874,-0.03176567660785823,-0.2976159807841767,-0.5973025201263588
IA-NSGA-III,11,1809046,6,True,0.0,57553129.536294,3482024.6435902356,54071104.892703764,15761150.031870034,经过处理的数据 / public-data surrogate; not author-run logs,0.6599365973194391,0.76919371830084,0.7131802209633369,-0.7334967668082418,-0.21949895215699072,-0.40139578999418823,-0.2647587805333931,-0.0435888413282145,-0.28285749858359965,-0.563267141482072
IA-NSGA-III,11,1809046,7,True,0.0,62697394.12851617,4349942.729914742,58347451.39860142,17133161.863668013,经过处理的数据 / public-data surrogate; not author-run logs,0.7428892096251294,0.7836879522459885,0.6904770429447148,-0.6670690416119626,-0.21062003947088626,-0.34928715217072026,-0.19904080129372115,-0.009444248641966135,-0.34169839347074626,-0.4959620750144078
IA-NSGA-III,11,1809046,8,True,0.0,66522087.950695604,3667556.274868085,62854531.67582752,16046209.253211292,经过处理的数据 / public-data surrogate; not author-run logs,0.794467129426518,0.7325370183406601,0.7059900689651362,-0.7192967582913846,-0.22486709019737355,-0.39056931796322514,-0.15018033840382283,0.0,-0.3795475074295469,-0.5105778409598009
IA-NSGA-III,11,1809046,9,True,0.0,70489225.63792342,6639997.011942639,63849228.62598078,17437197.88407909,经过处理的数据 / public-data surrogate; not author-run logs,0.8039017238124829,0.7869184230063636,0.628506274952761,-0.4917954772882501,-0.18580124902989006,-0.3377399464501051,-0.09950015516357125,-1.0066315751622312e-05,-0.4144666095211782,-0.3459493149509194
IA-NSGA-III,11,1809046,10,True,0.0,65550076.73794419,6371458.607869573,59178618.13007462,16906839.216087516,经过处理的数据 / public-data surrogate; not author-run logs,0.7602973932637892,0.7818108161144507,0.636135702882854,-0.5123485635661911,-0.18280013502743314,-0.35788282503643143,-0.1625977814717603,-4.135402201566052e-06,-0.3703471096608446,-0.3840987269105893
IA-NSGA-III,11,1809046,11,True,0.0,60791992.08864616,3970424.722664482,56821567.365981676,16239626.9759567,经过处理的数据 / public-data surrogate; not author-run logs,0.6937213530005244,0.7690422021296577,0.699652061851222,-0.6961161582579842,-0.21468835966298233,-0.38322336523191913,-0.22338231201008862,-0.10086380743256596,-0.32106526103281763,-0.5241600546030929
IA-NSGA-III,11,1809046,12,True,0.0,64345863.293334335,4460718.633876578,59885144.65945776,16952319.81078502,经过处理的数据 / public-data surrogate; not author-run logs,0.7719870584406453,0.7692267206548232,0.6868082717035554,-0.6585906017422409,-0.21067590664622154,-0.35615548436621103,-0.17798160800989316,-0.007800514497684818,-0.35856334552782987,-0.48459982372955845
IA-NSGA-III,11,1809046,13,True,0.0,61992355.22935772,3044888.209191353,58947467.02016637,15316811.45574614,经过处理的数据 / public-data surrogate; not author-run logs,0.7292508440543781,0.7257423397330723,0.7232745198307732,-0.7669538169551071,-0.23088284357117983,-0.4182716487860858,-0.20804767310356354,-0.0246344390697546,-0.334211530965451,-0.5601297858328319
IA-NSGA-III,11,1809046,14,True,0.0,65701664.719965845,2666045.925975085,63035618.79399077,15837249.515832592,经过处理的数据 / public-data surrogate; not author-run logs,0.7614168769503609,0.7171057018639542,0.7320203025202863,-0.7959492158052378,-0.23942194254379512,-0.3985055522014419,-0.16066124502871948,-0.15725202181145048,-0.37179985536260773,-0.55897739377495
IA-NSGA-III,11,1809046,15,True,0.0,66068157.33018125,2604274.119778673,63463883.21040257,16039149.93797952,经过处理的数据 / public-data surrogate; not author-run logs,0.7929353795783273,0.7095130411154031,0.7338413448353589,-0.8006770358974197,-0.24058200765667506,-0.39083742884402706,-0.1559793019991863,-0.15718203185034918,-0.37528460081411563,-0.5610452895282254
IA-NSGA-III,11,1809046,16,True,0.0,63807574.318906486,3632998.028888963,60174576.29001752,15927771.110931091,经过处理的数据 / public-data surrogate; not author-run logs,0.7618254592707981,0.7428739297974475,0.7086583389967567,-0.7219417379309818,-0.22306321674709884,-0.3950675665333381,-0.18485824956131702,-0.04453457292844554,-0.353152102699971,-0.5269702079837735
IA-NSGA-III,11,1809046,17,True,0.0,71274647.1887916,7095828.19810288,64178818.99068873,17539308.987992484,经过处理的数据 / public-data surrogate; not author-run logs,0.812699514615329,0.8140137975332065,0.6175996911233743,-0.45690758954025223,-0.1804438677990574,-0.3338617943757133,-0.08946639499260589,-0.01873814081535652,-0.42091898160261165,-0.322334081493732
IA-NSGA-III,11,1809046,18,True,0.0,64586665.70639936,4952295.224929957,59634370.48146941,17324787.75227124,经过处理的数据 / public-data surrogate; not author-run logs,0.7628217846811732,0.7728398458007828,0.6736457745902198,-0.6209668729388657,-0.20332325611230195,-0.34200925281489614,-0.17490535722633183,-0.00803965220295988,-0.3609548530090707,-0.46008676155037587
IA-NSGA-III,11,1809046,19,True,0.0,66293455.97910166,7309361.914033989,58984094.065067664,17449430.01509574,经过处理的数据 / public-data surrogate; not author-run logs,0.7486000271433725,0.8337996989348606,0.61336343880556,-0.44056438938632825,-0.1697423311836663,-0.33727537342661995,-0.1531011117997817,0.0,-0.37740769929069407,-0.33841388046950505
IA-NSGA-III,11,1809046,20,True,0.0,62231235.40051226,3715163.901768444,58516071.4987438,16649288.239679497,经过处理的数据 / public-data surrogate; not author-run logs,0.7530878931106876,0.7515607758930246,0.7063210131220157,-0.7156530200091504,-0.22030065644915897,-0.3676645413742117,-0.2049959789600626,-0.020177569991263078,-0.33676721963870504,-0.5287537733478753
IA-NSGA-III,11,1809046,21,True,0.0,67008938.08530532,4605844.671200347,62403093.41410495,16638400.71221566,经过处理的数据 / public-data surrogate; not author-run logs,0.8062562260270086,0.7410012085686911,0.6815192680567147,-0.6474831105191995,-0.2112652191960287,-0.3680780467188869,-0.14396082802181664,-0.016057682157602393,-0.38405537441204274,-0.46081891947971076
IA-NSGA-III,11,1809046,22,True,0.0,62619503.28857206,5374526.853795149,57244976.43477691,15621153.692527184,经过处理的数据 / public-data surrogate; not author-run logs,0.7259102016849265,0.7911802951707345,0.663211333408636,-0.588650589808723,-0.1941716786058252,-0.4067128130506644,-0.2000358567599868,-0.11954808925704297,-0.34087954850430147,-0.4462893319481971
IA-NSGA-III,11,1809046,23,True,0.0,62955837.45762987,6506388.354207868,56449449.10342199,16944913.92838058,经过处理的数据 / public-data surrogate; not author-run logs,0.6997823523587263,0.8245819635421391,0.6325570776524881,-0.5020214644403727,-0.17665154786342485,-0.3564367577743788,-0.19573918781081334,0.0,-0.3444008221195085,-0.3912723079395364
IA-NSGA-III,11,1809046,24,True,0.0,58935038.04071062,2115165.336003476,56819872.704707146,13695144.220747279,经过处理的数据 / public-data surrogate; not author-run logs,0.6926919064445665,0.6955133646119239,0.7489788785395849,-0.838111886480263,-0.24411022362380796,-0.4798621312150908,-0.24710489963821392,-0.1181178883591969,-0.2996730527010223,-0.6221123830176447
IA-NSGA-III,11,1809046,25,True,0.0,61095149.214166865,4397482.901706822,56697666.312460035,16993782.822901674,经过处理的数据 / public-data surrogate; not author-run logs,0.7024441679417228,0.7919849815429729,0.6885358901484443,-0.6634304661319173,-0.20802238871221018,-0.3545807303944284,-0.21950947978612978,-0.01293571908258484,-0.324434168491574,-0.5022719975115714
IA-NSGA-III,11,1809046,26,True,0.0,64440793.39855981,3308911.074715986,61131882.32384384,15913908.286097892,经过处理的数据 / public-data surrogate; not author-run logs,0.7776161081547937,0.7184936981665749,0.7147600855541895,-0.7467463358195578,-0.22865191906855176,-0.39559407286637505,-0.17676887593272506,-1.1102230246251565e-16,-0.35950826947884185,-0.5368303493559874
IA-NSGA-III,11,1809046,27,True,0.0,57765435.15770587,2228819.2876564153,55536615.87004946,13948152.41985775,经过处理的数据 / public-data surrogate; not author-run logs,0.6748394685086693,0.6966664349516176,0.7464893044936951,-0.829413169876897,-0.24141603916647564,-0.4702529483288629,-0.26204657625807126,-0.1181178883591969,-0.28549321636168623,-0.6242397694219344
IA-NSGA-III,11,1809046,28,True,0.0,68129931.99949484,6981631.55302486,61148300.44646998,17793994.216730215,经过处理的数据 / public-data surrogate; not author-run logs,0.7767987174687607,0.7990658918431195,0.6193413057154097,-0.46564784219439903,-0.17752475383247668,-0.3241889183583907,-0.12964013096982407,-0.0334156849148628,-0.3941899827478761,-0.3415086903514146
IA-NSGA-III,11,1809046,29,True,0.0,63287819.31716594,5710032.44186968,57577786.875296265,16381626.838170744,经过处理的数据 / public-data surrogate; not author-run logs,0.7201616370267065,0.7996213090396592,0.6528974065632138,-0.5629720455340987,-0.18977675477718803,-0.3778302489193599,-0.19149811961499674,-0.021422522234255115,-0.34783982565180516,-0.4260677756852824
IA-NSGA-III,11,1809046,30,True,0.0,63191260.01786208,2534422.6317645945,60656837.38609748,14626378.889023395,经过处理的数据 / public-data surrogate; not author-run logs,0.7348671784776641,0.7188132277485255,0.7350083483102324,-0.8060232494669518,-0.23989282962472666,-0.44449409069734513,-0.19273166464622282,-0.05774210542637148,-0.346843293386882,-0.5763782134702972
IA-NSGA-III,11,1809046,31,True,0.0,62841082.29994382,4427130.883253709,58413951.416690126,17067979.97311077,经过处理的数据 / public-data surrogate; not author-run logs,0.7050910185766042,0.7887957535502239,0.687356237684999,-0.6611613027144785,-0.20955037180736674,-0.3517627427224762,-0.1972051849295967,-0.010586546804928432,-0.343203621430357,-0.4928860214381554
IA-NSGA-III,11,1809046,32,True,0.0,60719161.45670736,3075913.7784273783,57643247.678279996,15594405.917850325,经过处理的数据 / public-data surrogate; not author-run logs,0.7109855665702114,0.7382125832941383,0.7226248236258475,-0.7645792173013579,-0.22934195887042186,-0.4077286862894496,-0.2243127233199973,0.0,-0.32025090120145805,-0.5654458379795086
IA-NSGA-III,11,1809046,33,True,0.0,63872633.37857689,6726564.526961959,57146068.85161494,17123411.417019233,经过处理的数据 / public-data surrogate; not author-run logs,0.7103556352919844,0.8203480885472306,0.6267657757390392,-0.48516987149752333,-0.1746878471865531,-0.3496574714939673,-0.18402712008573818,-1.1102230246251565e-16,-0.3538109657172305,-0.3759070082269087
IA-NSGA-III,11,1809046,34,True,0.0,62373359.171246454,2258859.4654200953,60114499.70582636,14676133.607228333,经过处理的数据 / public-data surrogate; not author-run logs,0.7515678646898974,0.6974870172359124,0.7436089953770052,-0.8271139889924615,-0.24378486752303366,-0.4426044199737681,-0.20318034781451555,-0.12504978308548098,-0.33827846009251283,-0.5966201037013158
IA-NSGA-III,11,1809046,35,True,0.0,65148080.855809286,5470058.794854101,59678022.060955174,17121606.25527931,经过处理的数据 / public-data surrogate; not author-run logs,0.788588745403571,0.7684475036959033,0.6606648668561677,-0.5813388749958592,-0.19603653211272867,-0.34972603104800204,-0.1677332787936746,0.0,-0.3664618398913344,-0.4318607788753308
IA-NSGA-III,11,1809046,36,True,0.0,64318501.979427844,4850273.229823046,59468228.74960481,17122084.163362864,经过处理的数据 / public-data surrogate; not author-run logs,0.7437891938264597,0.7763432891720875,0.6762376190800905,-0.6287753161107759,-0.20458976685473185,-0.3497078802284087,-0.17833114879012346,0.0,-0.3582904761494392,-0.4655377460493316
IA-NSGA-III,11,1809046,37,True,0.0,68566021.68957056,6724083.241330799,61841938.44823977,16538545.272360185,经过处理的数据 / public-data surrogate; not author-run logs,0.7914455000651155,0.7951787185346574,0.626451682474942,-0.48535978130887225,-0.18193272009022532,-0.37187052928320496,-0.12406908525760274,0.0,-0.398043020975241,-0.35318755245390754
IA-NSGA-III,11,1809046,38,True,0.0,60486291.615043014,3383322.5624823873,57102969.05256064,15780216.816581914,经过处理的数据 / public-data surrogate; not author-run logs,0.7091394788424008,0.7636638337475427,0.7161238848670262,-0.7410511141866897,-0.2240646389100014,-0.4006716386742194,-0.2272876355053428,-0.008577362492225737,-0.3176338939295271,-0.5529995171331457
IA-NSGA-III,11,1809046,39,True,0.0,60738325.59996502,3244582.809802712,57493742.79016232,15669442.134259017,经过处理的数据 / public-data surrogate; not author-run logs,0.7286160229193694,0.7582544045047617,0.7200086115349679,-0.7516698192350362,-0.22658096386831283,-0.4048788311104604,-0.22406790139333022,-0.11954808925704297,-0.3204653754889851,-0.5583905161857587
IA-NSGA-III,11,1809046,40,True,0.0,64520393.67678906,4019140.3661002233,60501253.31068884,16208455.991538629,经过处理的数据 / public-data surrogate; not author-run logs,0.7695623473333203,0.7378443123602936,0.6964329080566058,-0.6923876158691356,-0.21770744198750774,-0.3844072307788464,-0.17575198239267442,-0.09311283408663484,-0.3602984587050332,-0.5035822336099185
IA-NSGA-III,11,1809046,41,True,0.0,63855731.867787644,6295602.97900637,57560128.88878129,17073161.969405137,经过处理的数据 / public-data surrogate; not author-run logs,0.7238812769514913,0.8144935848601517,0.6387447639508048,-0.5181543152242247,-0.18140896056063816,-0.35156593190652874,-0.18424303688302857,-0.10198679165747415,-0.3536399306258554,-0.39858537687517204
IA-NSGA-III,11,1809046,42,True,0.0,64733413.6676534,3946781.201270383,60786632.466383,16216741.914141448,经过处理的数据 / public-data surrogate; not author-run logs,0.7616060349362328,0.7662283569635048,0.7002782591731835,-0.6979257591484216,-0.21903023218374554,-0.38409253368226404,-0.17303065204772605,-2.220446049250313e-16,-0.3624035418261269,-0.5057898720706702
IA-NSGA-III,11,1809046,43,True,0.0,64731094.540814936,4109150.369388246,60621944.17142668,15907248.743360715,经过处理的数据 / public-data surrogate; not author-run logs,0.7796486322154423,0.7494354675988316,0.6957416239034022,-0.6854985328352126,-0.2165196834915668,-0.3958470004960929,-0.17306027889266995,0.0,-0.362380698599564,-0.4992384844970085
